MID Data C:\ESCO\Data\SIM\HMK\20260610\20260610_GZ_Si_HF_1421_24H_SIM_A.mfd
June 10 2026 11:12:46

Sample Weight : 363.9 mg

Normalization : per 100 mg (Sample weight : 363.9 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.848,48.5,58.9,1.265,7.94786E-008,4.94654E-005,5.0991E-013,1.29381E-014,2.67945E-014,1.62189E-014,1.21842E-013,8.92506E-014,1.00571E-013,2.83621E-013,2.19896E-014,1.33632E-013,3.43796E-014,1.08262E-014,-1.53488E-014,8.85364E-014,6.5066E-015
2,7.750,48.1,58.8,2.135,7.93871E-008,4.93705E-005,1.59349E-012,1.61708E-014,8.32515E-015,3.54628E-014,1.00612E-013,5.02612E-014,6.69522E-014,3.35259E-013,4.25932E-015,1.24158E-013,2.1654E-014,1.0721E-015,-1.2105E-014,5.05044E-014,3.05029E-016
3,11.652,48.5,58.8,2.950,7.91133E-008,4.92759E-005,1.17458E-012,8.90825E-015,3.07515E-014,2.90043E-014,1.02228E-013,1.07901E-013,1.63295E-013,3.7365E-013,-2.10666E-015,7.79169E-014,1.06237E-014,-3.21101E-015,2.20129E-015,8.20842E-014,-2.83673E-015
4,15.553,48.1,58.8,3.805,7.89769E-008,4.91814E-005,2.8072E-013,1.48021E-014,1.73894E-014,3.25658E-014,8.16688E-014,9.57836E-014,5.3423E-014,4.04154E-013,-1.16266E-014,6.69215E-014,2.86596E-014,-5.24948E-015,4.34708E-015,7.74718E-014,-5.03907E-015
5,19.455,47.9,58.8,4.710,7.87953E-008,4.90871E-005,8.52818E-013,1.56839E-014,5.14586E-015,1.10112E-014,1.01425E-013,5.69957E-014,2.03205E-013,5.05261E-013,1.79962E-014,1.18586E-013,2.27393E-014,4.83766E-015,-2.0612E-015,5.60658E-014,-4.76841E-015
6,23.357,47.9,58.6,5.625,7.86141E-008,4.8993E-005,5.12595E-013,1.44268E-015,3.04205E-014,3.4665E-014,1.0204E-013,1.81696E-015,6.64013E-014,5.62661E-013,-8.32885E-015,8.44717E-014,1.96673E-014,3.6132E-014,-1.40483E-014,3.59491E-014,-6.76247E-015
7,27.258,47.9,58.6,6.535,7.82979E-008,4.88991E-005,9.84896E-013,4.11854E-014,2.10212E-014,1.49967E-014,8.66762E-014,7.66651E-014,1.44988E-013,2.49097E-013,6.25761E-015,7.7531E-014,-8.20938E-015,-2.4265E-016,7.78646E-015,1.93945E-014,-1.20505E-014
8,31.160,48.3,58.6,7.395,7.82077E-008,4.88054E-005,6.6199E-013,4.27518E-015,1.44818E-014,7.29217E-015,1.47999E-013,8.32832E-014,1.17394E-013,2.31812E-013,9.77523E-015,1.24733E-013,7.64689E-015,7.97096E-015,-1.13141E-014,4.2932E-014,1.2188E-014
9,35.062,48.4,58.6,8.415,7.79382E-008,4.87118E-005,1.08258E-012,5.94497E-014,4.35394E-015,1.55248E-014,8.0908E-014,1.04753E-013,8.57313E-014,3.39001E-013,-4.25033E-016,6.59436E-014,8.71213E-016,-8.60375E-015,8.67882E-015,5.28807E-014,1.36587E-014
10,38.963,49.7,58.6,9.475,7.78036E-008,4.85252E-005,1.04106E-012,-1.38664E-015,3.91215E-014,3.50943E-014,4.31958E-014,5.22823E-014,7.3922E-014,1.56844E-013,9.89735E-015,5.56909E-014,2.29005E-014,-6.32845E-015,7.3757E-015,3.4489E-014,-4.11288E-016
