MID Data C:\ESCO\Data\SIM\HMK\20260616\20260616_GZ_Si_HF_1421_7Days_SIM_A.mfd
June 16 2026 11:38:24

Sample Weight : 259.5 mg

Normalization : per 100 mg (Sample weight : 259.5 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.852,53.5,63.9,1.295,7.95244E-008,5.62517E-005,6.36616E-013,3.7942E-014,3.44377E-014,3.18964E-014,1.61376E-013,1.24113E-013,9.69971E-014,6.14361E-013,1.91967E-014,1.43209E-013,-7.57787E-015,2.87554E-014,-7.56231E-015,8.53968E-014,4.22632E-015
2,7.754,53.5,63.8,2.170,7.92045E-008,5.61438E-005,1.51684E-012,2.86561E-014,3.31812E-014,2.55981E-014,1.35233E-013,2.44531E-013,5.19627E-014,4.09968E-013,1.40727E-014,7.50106E-014,7.69352E-015,-7.74245E-015,5.33906E-015,5.06654E-014,-1.60424E-014
3,11.655,53.5,63.7,3.070,7.88861E-008,5.59288E-005,0,2.95828E-014,6.42807E-015,2.47018E-014,2.03116E-013,1.60012E-013,2.06162E-013,5.90895E-013,3.19765E-014,2.53975E-013,2.39183E-014,9.4008E-015,-9.50385E-016,1.23277E-013,1.03364E-014
4,15.557,53.5,63.7,4.005,7.85236E-008,5.57145E-005,8.12952E-013,2.86101E-014,4.28533E-014,2.52386E-014,2.34182E-013,2.45372E-013,1.54344E-013,7.05056E-013,1.64212E-014,9.07876E-014,4.36384E-014,2.05793E-015,1.5138E-014,3.94602E-014,6.02331E-015
5,19.459,53.3,63.6,4.920,7.82077E-008,5.55011E-005,1.3006E-012,5.19109E-014,2.02175E-014,4.11001E-014,2.79076E-013,2.78933E-014,1.56161E-013,7.59686E-013,3.78449E-015,7.42508E-015,9.19027E-015,-6.91512E-015,-1.34566E-014,9.77317E-014,-1.28843E-015
6,23.361,53.3,63.6,5.860,7.7983E-008,5.53948E-005,9.36527E-013,4.48927E-014,3.97108E-014,2.53661E-014,8.17294E-014,2.30425E-013,1.39522E-013,9.67296E-013,4.29816E-014,1.5371E-013,3.81644E-014,1.58719E-015,-1.23061E-015,5.00398E-014,-1.0578E-014
7,27.262,53.3,63.4,6.875,7.78036E-008,5.51826E-005,3.4622E-013,1.22564E-014,1.60713E-014,5.04134E-014,2.45502E-013,2.01539E-013,2.49351E-013,6.31448E-013,4.33945E-014,1.19575E-013,3.38128E-014,1.32965E-014,1.12756E-015,7.24042E-014,-3.27964E-015
8,31.164,53.3,63.4,7.835,7.75353E-008,5.49712E-005,6.16993E-013,2.94449E-014,5.39028E-014,2.62394E-014,1.39923E-013,2.25422E-013,5.1704E-014,4.9374E-013,1.51809E-014,1.08592E-013,1.18027E-014,0,1.2785E-014,1.00827E-013,-1.95948E-014
9,35.066,53.8,63.4,8.825,7.70461E-008,5.48658E-005,1.6662E-012,4.52196E-014,2.94204E-014,-2.41155E-015,1.87029E-013,2.20096E-013,7.04091E-014,4.67462E-013,2.30554E-015,1.09193E-013,2.42281E-014,-8.26286E-015,4.65555E-015,5.94621E-014,-2.27514E-015
10,38.967,56.4,63.5,9.765,7.68245E-008,5.46557E-005,3.14786E-013,9.35558E-015,9.14208E-015,1.1372E-014,1.51392E-013,2.51501E-013,8.60595E-014,3.42618E-013,1.2888E-014,1.50885E-013,2.48056E-014,-6.7031E-015,1.1501E-014,7.79227E-014,2.13502E-016
11,42.869,61.9,63.9,10.355,7.65156E-008,6.50833E-005,1.22245E-012,2.50443E-014,-6.99296E-015,1.2974E-014,1.77555E-013,1.76902E-013,2.45648E-013,7.45724E-013,1.94747E-015,1.04237E-013,4.43619E-014,2.02309E-014,-1.6396E-014,8.04002E-014,-7.90406E-015
