MID Data C:\ESCO\Data\SIM\HMK\20260707\20260707_GZ_Si_HF_1421_28Days_SIM_A.mfd
July 07 2026 11:35:53

Sample Weight : 347.4 mg

Normalization : per 100 mg (Sample weight : 347.4 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.826,59.9,71.9,1.240,6.0256E-008,4.69678E-005,1.07058E-012,1.16134E-014,9.73892E-015,1.43822E-014,5.00591E-014,2.09558E-014,2.02124E-013,3.35407E-013,1.95736E-014,1.43935E-013,2.76192E-014,-3.67695E-016,-5.86373E-015,4.91791E-014,-1.19318E-014
2,7.728,59.9,71.8,2.090,6.0152E-008,4.68778E-005,3.08794E-013,4.13269E-015,1.13498E-014,5.233E-015,9.38036E-014,6.50293E-014,1.01211E-013,3.8861E-013,2.14442E-014,1.04391E-013,1.23133E-014,2.5351E-015,-1.66863E-014,3.181E-014,1.48805E-014
3,11.629,59.9,71.7,3.050,6.02213E-008,4.68778E-005,5.73669E-013,1.02943E-014,2.36958E-014,1.4406E-014,3.37897E-014,5.76688E-014,1.09665E-013,3.56851E-013,1.68652E-014,6.97323E-014,-9.90671E-015,4.93397E-015,-2.86846E-016,5.71886E-014,-1.17574E-014
4,15.531,59.8,71.7,3.840,6.0256E-008,4.68778E-005,5.41105E-013,1.43318E-014,2.0268E-014,1.83659E-014,9.93428E-014,1.13685E-015,1.42147E-013,2.57704E-013,1.13133E-015,7.72086E-014,7.82402E-015,2.3502E-014,6.03927E-015,3.80918E-014,1.25797E-014
5,19.433,59.7,71.6,4.845,6.01174E-008,4.6788E-005,9.33973E-013,3.92802E-014,1.47404E-014,1.32348E-015,5.98495E-014,1.45987E-014,9.93052E-014,4.7903E-013,1.65307E-014,9.43069E-014,1.36429E-014,-7.07701E-015,-2.48304E-015,5.10148E-014,-6.41195E-015
6,23.334,59.7,71.5,5.800,5.9979E-008,4.66982E-005,5.05302E-013,8.26759E-015,8.58323E-016,1.9237E-014,1.02502E-013,4.24831E-014,6.25086E-014,3.03381E-013,8.68457E-015,9.84723E-014,5.30388E-015,1.09223E-014,3.35521E-015,2.19908E-014,8.51678E-015
7,27.236,59.7,71.5,6.655,5.98756E-008,4.66982E-005,8.30645E-013,1.82718E-014,2.00897E-014,1.46862E-014,8.57735E-014,4.04718E-014,1.01448E-013,5.36665E-013,4.63439E-015,5.93538E-014,2.55841E-014,-1.85713E-014,5.70535E-015,7.48945E-014,-1.68652E-014
8,31.138,59.6,71.5,7.665,5.9979E-008,4.66982E-005,3.26665E-013,2.95235E-014,8.98858E-015,2.01789E-014,4.24648E-014,9.81273E-014,1.12776E-013,4.07858E-013,3.10824E-014,4.98286E-014,-2.83966E-015,5.2258E-015,-1.18188E-014,5.17635E-014,-1.07185E-014
9,35.039,59.9,71.3,8.550,6.00136E-008,4.66087E-005,8.71803E-013,1.38052E-014,1.85652E-014,1.08326E-014,1.78062E-013,2.01329E-014,1.24475E-013,4.4279E-013,1.49032E-014,7.6748E-016,2.24797E-014,-3.27658E-015,-6.56866E-015,8.90448E-016,-5.77457E-015
10,38.941,62.0,71.5,9.595,5.98067E-008,4.65194E-005,8.9504E-013,3.07778E-014,1.5055E-014,5.53424E-015,4.53853E-014,3.14362E-014,1.05623E-013,4.04932E-013,-8.20113E-015,1.09465E-013,3.87076E-015,-1.67345E-015,4.66485E-015,1.88499E-014,4.52142E-015
11,42.843,66.9,71.7,10.370,5.98067E-008,4.65194E-005,9.10269E-013,2.09126E-014,1.80226E-014,1.16976E-014,8.88935E-014,3.77E-015,1.05683E-013,2.46345E-013,1.21682E-014,0,1.68857E-014,-1.23892E-014,2.8709E-014,5.49055E-014,1.44088E-015
12,46.745,74.1,72.1,10.680,5.96005E-008,4.65194E-005,6.18877E-013,1.01415E-014,7.38379E-015,2.64103E-014,4.66036E-014,0,9.35024E-014,2.48033E-013,3.49033E-015,8.40791E-014,1.82258E-014,-1.10868E-014,4.55299E-015,1.00905E-014,1.20248E-014
13,50.646,81.3,72.8,10.830,5.97379E-008,4.65194E-005,7.58735E-013,1.96262E-014,6.38869E-015,4.3543E-014,5.69401E-014,9.60656E-015,0,5.79318E-013,-1.50123E-015,8.83064E-014,1.44392E-014,-9.99088E-015,1.02002E-014,7.84418E-014,1.57987E-015
14,54.548,87.3,73.4,10.885,5.96691E-008,4.65194E-005,5.53755E-013,1.1939E-014,3.33356E-014,2.73057E-015,1.21169E-013,6.71502E-014,1.06176E-013,3.2106E-013,9.76993E-015,1.08288E-013,-2.51904E-015,4.46328E-016,7.06538E-015,7.94098E-014,2.12089E-015
15,58.450,92.2,73.9,10.935,5.96691E-008,4.63412E-005,5.42662E-013,3.01786E-014,-2.65249E-015,1.81389E-014,1.15213E-013,3.18421E-014,1.31301E-013,4.84898E-013,1.16344E-014,8.90645E-014,-3.60219E-015,-1.42426E-015,1.02074E-014,1.46114E-014,-5.13111E-015
16,62.351,96.2,74.5,11.075,5.95319E-008,4.63412E-005,8.52944E-013,1.05225E-014,6.43687E-015,2.6536E-015,1.07362E-013,9.32914E-015,1.45281E-013,4.91556E-013,6.70433E-015,7.14036E-014,2.17438E-014,-6.12455E-016,-5.04971E-015,4.23563E-014,4.924E-015
17,66.253,99.9,75.0,11.210,5.93608E-008,4.62524E-005,2.43234E-013,2.08672E-014,1.29751E-014,0,1.74862E-013,1.12186E-014,1.62475E-013,4.9902E-013,5.80448E-015,1.25955E-013,2.24211E-014,4.59618E-016,-6.03595E-015,2.50226E-014,8.8817E-015
18,70.155,103.5,75.4,11.415,5.95319E-008,4.62524E-005,9.99954E-013,2.79271E-014,-1.38328E-015,1.11953E-014,7.72202E-014,8.61507E-014,6.24394E-014,5.85304E-014,7.99348E-015,1.07237E-013,9.60491E-015,-9.9798E-015,0,1.52809E-014,7.15454E-016
19,74.056,107.2,75.7,11.605,5.94976E-008,4.61637E-005,9.39099E-013,2.81164E-014,1.80641E-014,7.5693E-015,7.82796E-014,5.67822E-014,8.89228E-014,4.51776E-013,1.71006E-014,7.56996E-014,-2.56777E-015,8.48134E-015,-1.42371E-015,0,1.57488E-014
20,77.958,111.0,76.2,11.755,5.93608E-008,4.61637E-005,8.5981E-013,1.69162E-014,2.22832E-014,1.09766E-014,7.58796E-014,8.24438E-014,5.78697E-014,0,2.76917E-014,1.01162E-013,1.49946E-014,-1.17341E-014,1.40599E-015,4.08573E-014,5.03254E-015
21,81.860,114.9,76.7,11.995,5.9395E-008,4.61637E-005,2.69764E-013,1.44348E-014,2.67525E-014,-1.29651E-014,8.50366E-014,4.36493E-014,6.78922E-014,2.04452E-013,3.10381E-015,1.20366E-013,5.44453E-015,-9.48419E-015,5.12779E-015,3.12856E-014,-8.20058E-015
22,85.762,119.1,77.1,12.200,5.91561E-008,4.60752E-005,1.57401E-013,1.38777E-014,4.37745E-015,2.2405E-014,7.48983E-014,2.29277E-014,1.00376E-013,2.35984E-013,-2.12144E-015,1.0773E-013,2.31188E-014,5.79285E-015,-6.71928E-015,2.6304E-014,-3.47593E-015
23,89.663,123.4,77.7,12.320,5.92243E-008,4.60752E-005,7.00479E-013,2.00881E-014,1.80032E-014,4.40846E-015,1.79845E-013,1.27541E-014,1.39971E-013,3.63299E-013,1.90653E-014,4.49135E-014,1.79899E-014,-9.46813E-015,6.95961E-015,3.37459E-014,-1.02085E-014
24,93.565,127.7,78.1,12.455,5.92583E-008,4.59868E-005,7.03902E-013,2.17156E-014,8.90274E-015,1.86395E-015,5.68049E-014,2.10983E-015,1.08147E-013,2.37533E-013,0,6.03561E-014,4.10212E-014,2.62647E-015,-8.5201E-015,4.77665E-014,4.96277E-015
25,97.467,131.9,78.6,12.535,5.91221E-008,4.59868E-005,5.51037E-013,0,1.10757E-014,1.68431E-014,1.22545E-013,1.34015E-014,6.88835E-014,3.09767E-013,1.47897E-014,8.49668E-014,7.54438E-015,5.72418E-015,-1.39408E-014,5.79767E-014,-1.15763E-014
26,101.368,135.8,79.0,12.780,5.90881E-008,4.59868E-005,6.17964E-013,1.61642E-015,6.62459E-015,-4.49706E-015,0,3.41906E-014,1.5682E-013,4.32707E-013,1.62029E-015,5.73819E-014,-1.69671E-015,1.06709E-015,1.23837E-014,1.77318E-014,7.42809E-015
27,105.270,139.8,79.6,12.825,5.88844E-008,4.58987E-005,6.68937E-013,1.26312E-014,0,1.92519E-014,1.36304E-013,1.16848E-013,1.6175E-013,3.14907E-013,5.97226E-015,7.60152E-014,8.54003E-015,1.05895E-014,1.504E-015,6.43365E-014,-2.86364E-014
28,109.172,143.6,80.0,13.015,5.89522E-008,4.58107E-005,7.58785E-013,2.19149E-014,2.05001E-015,1.31423E-014,1.43599E-013,3.63425E-014,1.07828E-013,4.18789E-013,9.2505E-015,8.29948E-014,1.21782E-014,1.6286E-015,-1.14329E-014,6.68036E-014,-1.50627E-014
29,113.073,147.5,80.4,13.185,5.88844E-008,4.58107E-005,0,2.8189E-014,1.55866E-014,7.33506E-015,1.13572E-013,9.83809E-014,1.58991E-013,6.65492E-014,1.54869E-014,1.10857E-013,7.0316E-015,-3.68303E-015,-4.81491E-015,8.15999E-014,-1.06033E-014
30,116.975,151.4,80.9,13.270,5.88505E-008,4.58107E-005,7.96408E-013,4.19792E-014,1.16145E-014,1.31905E-015,1.21822E-013,8.56307E-014,9.63487E-014,4.72396E-013,-3.31202E-015,9.55867E-014,-1.37996E-015,-9.02568E-015,1.39336E-014,9.8109E-015,-1.01504E-015
31,120.877,155.4,81.3,13.400,5.88505E-008,4.57229E-005,9.67038E-013,2.63034E-014,1.12712E-014,1.15968E-014,7.16461E-014,5.76649E-014,1.09736E-013,4.30286E-013,4.31487E-015,9.95859E-014,2.02852E-014,1.72772E-016,-1.62694E-014,1.35731E-014,7.33174E-016
32,124.779,159.2,81.8,13.530,5.88844E-008,4.57229E-005,4.78502E-013,5.42765E-014,1.34541E-014,6.3981E-015,3.58098E-014,9.63812E-015,1.25195E-013,1.6953E-013,-1.90935E-015,4.51317E-014,1.85547E-014,7.44193E-015,3.99314E-015,4.24836E-014,3.7157E-016
33,128.680,162.8,82.3,13.710,5.88166E-008,4.56352E-005,9.45279E-013,4.17195E-014,2.98752E-015,1.56984E-014,1.45E-013,4.01545E-014,6.43781E-014,3.18977E-013,1.17751E-014,3.40732E-014,7.28134E-015,-1.09273E-014,-6.36488E-015,3.76145E-014,7.43972E-015
34,132.582,166.7,82.8,13.915,5.85464E-008,4.56352E-005,4.21631E-013,1.72611E-014,2.16181E-014,4.4893E-015,6.61739E-014,1.13601E-013,1.18208E-013,2.21637E-013,1.23986E-015,1.01083E-013,9.29259E-015,-9.29148E-015,1.51508E-015,5.10165E-014,-2.79426E-015
