MID Data C:\ESCO\Data\SIM\HMK\20260422\20260422_GZ_1421_5_14days_SIM_A.mfd
April 22 2026 14:35:27

Sample Weight : 303.2 mg

Normalization : per 100 mg (Sample weight : 303.2 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.850,46.0,54.3,1.145,7.97075E-008,8.33627E-005,8.94951E-013,3.31415E-014,1.30321E-013,3.85454E-014,1.14873E-014,1.1468E-013,1.9084E-014,8.44871E-014,2.77853E-014,-1.00375E-014,6.32217E-014,1.02621E-014
2,5.973,46.0,54.3,1.685,7.96159E-008,8.30434E-005,7.43601E-013,5.29482E-014,2.05718E-013,5.19216E-014,1.40154E-013,3.14333E-013,1.91417E-014,1.20428E-013,1.4109E-014,-2.71838E-014,8.00609E-014,1.37645E-014
3,9.096,46.0,54.2,2.385,7.95702E-008,8.28843E-005,8.62765E-013,4.50768E-014,1.06631E-013,8.89119E-014,1.26786E-013,1.44398E-013,1.78626E-014,9.16434E-014,2.28667E-014,1.80256E-015,1.09555E-013,2.74985E-015
4,12.218,46.0,54.1,3.060,7.92958E-008,8.27254E-005,6.32102E-013,5.08328E-014,1.86794E-013,1.03346E-013,9.44694E-014,2.92671E-013,1.34574E-015,1.63378E-013,-6.82576E-015,-3.01316E-015,1.11339E-014,5.13932E-016
5,15.341,46.0,54.1,3.815,7.92501E-008,8.27254E-005,6.14056E-013,4.64619E-014,1.7691E-013,4.80145E-014,8.64839E-014,2.88647E-013,1.25095E-014,1.47878E-013,2.38381E-014,-7.4926E-015,8.07512E-014,3.97947E-015
6,18.463,45.9,54.1,4.620,7.92501E-008,8.27254E-005,7.48684E-013,3.89293E-014,1.2194E-013,4.64003E-014,2.61479E-013,1.97127E-013,1.49103E-014,8.84893E-014,1.46921E-014,2.47956E-015,5.23771E-014,-1.56279E-014
7,21.586,45.8,54.1,5.355,7.89769E-008,8.24084E-005,5.92117E-013,3.19341E-014,1.32636E-013,3.20135E-014,8.85763E-014,2.15667E-013,1.74457E-014,1.07809E-013,1.78524E-014,1.97958E-014,2.90441E-014,1.02786E-016
8,24.709,45.7,54.1,6.055,7.88405E-008,8.22505E-005,1.06685E-012,3.66985E-014,9.5175E-014,3.92758E-014,1.81538E-014,1.8509E-013,9.89412E-015,7.60378E-014,9.27994E-015,-7.6582E-015,1.3937E-014,-2.42118E-015
9,27.831,45.8,54.1,6.665,7.88861E-008,8.20928E-005,7.10498E-013,7.32637E-014,1.11383E-013,6.04405E-015,9.23997E-014,3.09773E-013,1.44529E-014,1.1018E-013,2.93131E-014,-4.25167E-015,4.79466E-014,2.74223E-015
10,30.954,45.7,54.1,7.535,7.87953E-008,8.19355E-005,1.06734E-012,6.57901E-014,1.3614E-013,3.97662E-014,0,2.3919E-013,-6.45649E-015,9.11326E-014,7.55288E-015,1.06631E-014,8.52231E-014,-1.07786E-014
