MID Data C:\ESCO\Data\SIM\HMK\20260609\20260609_GZ_Si_HF_1423_0H_SIM_A.mfd
June 09 2026 13:36:14

Sample Weight : 313 mg

Normalization : per 100 mg (Sample weight : 313 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.703,31.3,36.0,1.125,7.96618E-008,6.33582E-005,9.9488E-013,4.06839E-014,1.38676E-014,3.57603E-014,2.6678E-013,1.53181E-013,7.09599E-014,8.39669E-014,1.52751E-014,9.32159E-014,3.19539E-015,1.5929E-014,-3.34044E-015,3.77135E-014,-7.96851E-015
2,7.604,31.3,36.0,2.010,7.93413E-008,6.32368E-005,1.04465E-012,2.51218E-014,5.3404E-015,1.66616E-014,1.0157E-013,0,8.45903E-014,1.72565E-013,1.59352E-014,9.97364E-014,7.77122E-015,-3.80263E-015,-2.61212E-015,5.69676E-014,1.19795E-014
3,11.506,31.3,36.0,2.865,7.91133E-008,6.31155E-005,5.98044E-013,1.38246E-014,4.9197E-014,5.20931E-014,6.75457E-014,9.37051E-014,1.59172E-013,1.05781E-013,2.95188E-014,8.45246E-014,7.2451E-015,-8.51982E-015,5.1216E-015,2.97155E-014,-4.55615E-015
4,15.408,31.4,35.9,3.660,7.89769E-008,6.29945E-005,5.78527E-013,-3.12656E-015,3.56969E-014,0,9.19116E-014,1.27068E-013,1.03931E-013,2.2133E-013,-8.29733E-015,7.67534E-014,9.69927E-015,3.26054E-015,0,1.76211E-014,-4.19783E-015
5,19.309,31.3,36.0,4.615,7.87953E-008,6.28738E-005,7.98509E-013,1.05481E-014,2.63148E-014,3.35476E-014,0,8.58656E-014,1.42705E-013,3.07442E-013,-1.26574E-014,1.44031E-013,-9.82158E-015,9.545E-015,-3.15237E-015,6.46048E-014,5.05031E-015
6,23.211,31.3,35.9,5.500,7.86592E-008,6.27533E-005,0,2.61888E-015,0,1.52437E-014,9.9121E-014,1.0617E-013,7.15065E-014,2.16367E-013,7.53643E-015,6.67529E-014,3.19244E-014,-5.55491E-015,3.3724E-015,3.02883E-014,1.37121E-015
7,27.113,31.3,35.9,6.385,7.8388E-008,6.2513E-005,8.84671E-013,1.1218E-014,3.67049E-014,1.87434E-014,5.8702E-014,6.71284E-014,0,1.90748E-013,1.51368E-014,1.03912E-013,3.23841E-015,1.40145E-014,-2.65084E-015,5.97979E-014,1.67446E-014
8,31.015,31.4,35.9,7.255,7.82979E-008,6.2513E-005,4.09568E-014,1.73217E-014,2.73502E-016,4.74656E-014,1.02432E-013,1.05025E-013,2.26342E-013,2.21628E-013,-2.47445E-015,6.69601E-014,9.24322E-015,-1.63672E-015,2.41544E-015,3.3748E-014,-1.24583E-015
9,34.916,31.7,35.9,8.185,7.81177E-008,6.2393E-005,6.71369E-013,3.46828E-015,1.69991E-014,1.7023E-014,7.69604E-014,1.91216E-013,2.04051E-013,1.88574E-013,1.56174E-014,5.79282E-014,1.92424E-014,-4.21258E-015,5.09271E-015,2.89091E-014,-4.69014E-015
10,38.818,32.8,36.1,9.270,7.7983E-008,6.22735E-005,1.9541E-013,-8.80439E-015,1.03606E-014,4.58793E-014,1.1797E-013,2.51686E-014,3.57847E-014,1.48693E-013,1.05222E-015,5.65503E-014,1.339E-014,2.73381E-015,4.3183E-015,2.52442E-014,4.19599E-015
