MID Data C:\ESCO\Data\SIM\HMK\20260409\20260409_GZ_1423_3_24h_SIM_A.mfd
April 09 2026 13:27:42

Sample Weight : 264.7 mg

Normalization : per 100 mg (Sample weight : 264.7 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.066,28.9,32.5,1.060,7.95702E-008,6.40919E-005,1.02186E-012,2.60277E-014,5.08722E-014,9.37035E-014,3.52794E-013,1.0117E-013,1.19669E-014,4.73648E-014,9.94362E-015,2.03131E-014,3.60483E-014,1.29248E-014
2,6.188,28.9,32.5,1.760,7.93871E-008,6.3969E-005,1.49854E-012,1.94323E-014,1.37734E-013,1.4093E-013,4.68056E-013,8.77243E-014,1.02547E-015,1.29941E-013,1.97528E-014,1.11493E-014,3.03483E-014,-3.53957E-014
3,9.311,28.9,32.5,2.425,7.90678E-008,6.38464E-005,3.22487E-013,3.57809E-014,1.3126E-013,1.17857E-013,1.14708E-013,4.34739E-014,-6.17744E-017,7.18888E-014,1.73508E-014,-1.68305E-014,4.86134E-014,-8.04748E-015
4,12.433,28.9,32.5,3.150,7.91133E-008,6.3724E-005,6.83481E-013,5.27414E-014,1.12998E-013,1.2949E-013,1.8205E-013,1.34729E-013,9.44941E-015,1.47506E-013,6.44714E-015,2.94486E-015,2.21417E-014,-6.40863E-015
5,15.556,28.9,32.5,3.890,7.89314E-008,6.348E-005,3.2919E-013,2.70212E-015,1.52365E-013,0,2.70164E-013,5.12386E-014,1.26922E-014,1.33554E-013,-1.12336E-014,1.15047E-015,1.67513E-014,7.97117E-015
6,18.679,28.9,32.4,4.595,7.87953E-008,6.33582E-005,7.5388E-013,2.89064E-014,9.44004E-014,8.53995E-014,2.99219E-013,1.61793E-013,-3.8517E-017,7.41548E-014,3.58732E-014,1.01893E-015,9.33387E-015,1.07511E-014
7,21.801,28.9,32.4,5.450,7.85236E-008,6.32368E-005,1.09046E-012,4.62994E-014,0,3.31159E-014,0,1.37536E-013,1.22286E-014,1.32692E-013,1.27271E-014,-1.01304E-014,7.66143E-014,2.34237E-015
8,24.924,28.9,32.4,6.050,7.82528E-008,6.31155E-005,4.69805E-013,3.55796E-014,3.21085E-014,6.50114E-014,2.24617E-013,0,1.68908E-014,7.40284E-014,1.0964E-014,-1.3467E-014,5.22494E-014,8.54023E-015
9,28.046,28.9,32.4,6.870,7.81177E-008,6.29945E-005,8.77961E-013,3.75833E-014,1.23542E-013,8.88749E-014,3.11472E-013,2.34195E-013,2.8708E-014,7.55372E-014,3.94271E-015,8.88036E-015,3.76087E-014,3.28717E-015
10,31.169,28.9,32.4,7.535,7.7983E-008,6.28738E-005,8.14529E-013,8.96248E-015,5.93013E-014,7.05232E-014,2.15799E-013,1.26072E-013,9.35275E-015,5.62619E-014,2.60139E-014,-3.51755E-015,6.89142E-014,7.51622E-015
11,34.292,29.1,32.4,8.285,7.77588E-008,6.27533E-005,7.6323E-013,5.71093E-015,1.35872E-013,9.98074E-014,1.6697E-013,1.50893E-013,-1.06006E-014,1.71084E-013,7.64704E-015,2.61635E-016,5.45852E-014,9.0635E-015
12,37.414,30.1,32.6,9.085,7.75353E-008,6.2513E-005,7.50082E-013,4.56475E-014,1.71614E-013,8.54096E-014,2.23486E-013,1.11638E-013,-7.75024E-015,7.88425E-014,1.33158E-014,-1.35433E-014,5.84589E-014,-1.6265E-015
13,40.537,32.6,32.6,9.900,7.74907E-008,6.2513E-005,1.69434E-013,2.26119E-014,2.1314E-013,1.35852E-013,3.09479E-013,1.54747E-013,9.14853E-015,1.0529E-013,1.91161E-014,-2.78715E-015,1.1653E-014,8.75245E-015
14,43.659,36.9,33.0,10.410,7.72235E-008,6.22735E-005,1.15956E-012,3.43762E-016,4.13799E-014,1.80993E-014,1.83631E-013,3.0501E-013,1.72629E-014,7.20771E-014,1.01071E-014,0,0,-8.79169E-015
15,46.782,42.6,33.5,10.670,7.70903E-008,6.22735E-005,1.26683E-012,2.0175E-014,1.42032E-014,1.67469E-013,2.13244E-013,2.48932E-013,1.93523E-014,5.27792E-014,1.29728E-014,-5.92169E-015,3.44277E-014,1.08557E-014
16,49.905,48.5,34.0,10.825,7.71792E-008,6.20349E-005,9.282E-013,2.60219E-014,1.19267E-013,2.17652E-014,2.15956E-013,1.09506E-013,8.46174E-015,1.18299E-013,1.12162E-014,-1.72607E-014,4.84382E-014,1.10185E-014
