MID Data C:\ESCO\Data\SIM\HMK\20260415\20260415_GZ_1423_4_7days_SIM_A.mfd
April 15 2026 13:38:39

Sample Weight : 248 mg

Normalization : per 100 mg (Sample weight : 248 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.028,31.2,35.2,1.125,7.92958E-008,8.36833E-005,1.0992E-012,4.81675E-014,1.06788E-013,1.04632E-013,1.43547E-013,2.16211E-013,-6.43448E-015,2.34546E-013,4.97755E-014,-7.83696E-015,1.04518E-013,-2.75376E-015
2,6.151,31.2,35.2,1.700,7.93413E-008,8.33627E-005,1.29547E-012,4.07168E-015,1.24248E-013,1.04588E-013,2.86619E-013,1.18598E-013,1.42792E-014,1.59465E-013,1.54908E-015,-9.0649E-015,4.87857E-014,8.89269E-015
3,9.273,31.2,35.2,2.390,7.90224E-008,8.32029E-005,1.09824E-012,1.0344E-014,8.6049E-014,9.31554E-014,6.60242E-014,1.3038E-013,2.9566E-014,1.34402E-013,2.54199E-015,1.73805E-014,9.23586E-014,4.87141E-016
4,12.396,31.2,35.2,3.065,7.87045E-008,8.30434E-005,8.27775E-013,2.0505E-014,6.28097E-014,2.05702E-014,4.20487E-014,1.72152E-013,6.07766E-015,1.07455E-013,1.41985E-014,1.56956E-014,9.87854E-014,-7.65855E-015
5,15.519,31.2,35.2,3.790,7.86592E-008,8.27254E-005,2.54778E-012,5.52404E-014,1.06613E-013,0,1.72853E-013,1.03967E-013,1.91817E-014,9.82649E-014,1.93585E-014,3.62022E-015,8.46846E-014,-1.77404E-015
6,18.641,31.2,35.2,4.480,7.85236E-008,8.25669E-005,1.13839E-012,1.94004E-015,1.31662E-013,7.80266E-014,1.69043E-013,1.45608E-013,7.73999E-015,1.81459E-013,2.27592E-014,1.916E-015,9.65087E-014,-4.22604E-015
7,21.764,31.2,35.2,5.215,7.8343E-008,8.24084E-005,1.58757E-012,2.32921E-014,8.17098E-014,9.17527E-014,0,1.03254E-013,3.1036E-014,2.08909E-013,-1.82477E-014,1.85549E-014,1.48509E-014,-1.50875E-015
8,24.886,31.2,35.2,6.020,7.81177E-008,8.20928E-005,1.02405E-012,4.09154E-014,6.07036E-014,1.4007E-013,2.10284E-013,1.31211E-013,8.22093E-015,1.68088E-013,2.34698E-014,-1.2132E-015,1.59259E-013,-9.43103E-015
9,28.009,31.2,35.2,6.650,7.79382E-008,8.19355E-005,1.50616E-012,3.25114E-014,3.72261E-014,8.50166E-014,2.49803E-013,1.62991E-013,2.55983E-015,1.03798E-013,2.93729E-014,3.35493E-015,1.21306E-013,-1.88644E-014
10,31.132,31.2,35.2,7.375,7.76247E-008,8.17784E-005,9.97773E-013,2.09052E-015,9.36191E-014,8.3666E-014,1.41938E-014,1.39132E-013,-1.37517E-014,1.83411E-013,1.90327E-014,-7.73922E-015,8.07168E-014,-2.18206E-015
