MID Data C:\ESCO\Data\SIM\HMK\20260506\20260506_GZ_1423_6_28d_SIM_A.mfd
May 06 2026 14:11:17

Sample Weight : 244.4 mg

Normalization : per 100 mg (Sample weight : 244.4 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.049,30.1,34.0,1.000,7.96159E-008,6.802E-005,1.51013E-013,3.39207E-014,2.17713E-014,1.14511E-013,8.74912E-014,2.11108E-014,1.43219E-014,2.24267E-013,1.61102E-014,-6.09004E-015,5.87972E-014,1.60378E-014
2,6.171,30.1,33.9,1.765,7.93871E-008,6.78897E-005,2.77976E-013,-8.00513E-015,1.37386E-013,1.02029E-013,1.81581E-013,1.34309E-013,6.84805E-015,1.79782E-013,4.44651E-014,-6.64024E-015,3.16112E-014,2.81794E-016
3,9.294,30.1,33.9,2.450,7.93871E-008,6.77595E-005,1.43789E-012,8.05795E-014,1.34433E-013,8.80738E-014,0,1.93175E-013,-5.41075E-015,1.00699E-013,0,2.69168E-014,9.78404E-015,1.80017E-014
4,12.416,30.1,34.0,3.100,7.92045E-008,6.76296E-005,4.73911E-013,6.42245E-014,0,9.84128E-014,1.58964E-013,1.64376E-013,1.73641E-015,2.01424E-013,1.69973E-014,1.9602E-014,5.43122E-014,-1.21297E-015
5,15.539,30.1,33.9,3.835,7.90224E-008,6.75E-005,1.154E-012,4.71476E-014,1.25859E-013,7.06553E-014,1.39048E-013,1.10261E-013,-4.08994E-015,9.03903E-014,4.01752E-014,4.82748E-015,5.41901E-014,2.49568E-014
6,18.662,30.1,34.0,4.525,7.90224E-008,6.75E-005,1.16232E-012,2.87177E-014,1.78533E-013,1.13308E-013,8.15703E-014,1.90332E-013,4.35284E-015,4.94491E-014,6.70637E-016,-1.49154E-014,9.07737E-014,-1.44958E-014
7,21.784,30.1,33.9,5.270,7.88405E-008,6.72414E-005,8.33398E-013,2.54283E-014,6.78287E-014,9.81522E-014,1.54918E-013,1.28269E-013,3.94274E-014,2.62616E-013,1.61921E-014,4.38259E-014,0,-1.68076E-014
8,24.907,30.1,33.9,6.020,7.87045E-008,6.72414E-005,4.83662E-013,5.34699E-014,2.09204E-014,4.93382E-014,1.61E-013,3.46837E-013,-2.3769E-014,1.0796E-013,3.79948E-015,8.51834E-015,2.96198E-014,4.05845E-015
9,28.029,30.1,33.9,6.700,7.85688E-008,6.69838E-005,8.35451E-013,4.20415E-014,1.29995E-014,9.09303E-014,5.29071E-014,2.11328E-013,5.70513E-015,1.00449E-013,3.6027E-015,2.11188E-015,5.96701E-014,-8.64035E-015
10,31.152,30.1,33.9,7.440,7.85236E-008,6.69838E-005,4.365E-013,4.88171E-014,5.28417E-014,1.31891E-013,3.19023E-014,2.65097E-013,-1.64487E-014,9.19047E-014,2.56526E-015,-9.4322E-015,7.32843E-014,-2.03277E-014
