MID Data C:\ESCO\Data\SIM\HMK\20260408\20260408_GZ_1421_2_7h_SIM_A.mfd
April 08 2026 20:56:53

Sample Weight : 335 mg

Normalization : per 100 mg (Sample weight : 335 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.996,45.8,54.4,1.075,7.98455E-008,5.53948E-005,8.32924E-013,2.44914E-014,5.35124E-014,3.36008E-014,9.92058E-014,1.75462E-013,-2.63984E-015,3.43961E-014,1.80873E-014,1.37011E-014,5.51933E-014,2.41761E-016
2,6.118,45.8,54.4,1.830,7.98914E-008,5.53948E-005,7.88774E-013,3.79863E-014,4.66174E-014,6.33442E-014,1.15085E-013,1.63796E-013,-2.01793E-015,1.09546E-013,8.66664E-015,-1.85203E-014,7.47874E-014,1.07489E-014
3,9.241,45.8,54.3,2.455,7.97075E-008,5.53948E-005,1.01436E-012,2.12824E-014,3.25045E-014,4.77429E-014,1.50364E-013,2.39059E-013,-3.59655E-015,1.66296E-013,1.57323E-014,1.22959E-014,4.65881E-014,-7.39984E-015
4,12.363,45.8,54.3,3.180,7.95244E-008,5.52885E-005,1.06568E-012,1.77961E-014,1.00137E-013,7.74881E-014,1.73878E-013,1.66744E-013,1.61021E-015,9.10783E-014,1.14943E-014,1.4284E-014,0,5.11373E-015
5,15.486,45.7,54.2,3.950,7.95702E-008,5.51826E-005,1.26154E-012,2.58064E-014,5.5164E-014,1.73764E-014,1.10649E-013,1.80929E-013,-1.49702E-014,1.4997E-013,5.36698E-015,1.70094E-014,2.62658E-014,-8.79987E-015
6,18.609,45.7,54.2,4.695,7.94786E-008,5.51826E-005,8.083E-013,5.05338E-014,1.02087E-013,3.68993E-014,1.1229E-013,1.4609E-013,4.0238E-015,1.11659E-013,0,-5.26017E-015,6.51921E-014,9.32589E-016
7,21.731,45.6,54.2,5.420,7.94328E-008,5.51826E-005,4.92575E-013,2.92335E-014,4.47154E-014,3.13617E-014,1.00608E-013,2.16949E-013,2.00426E-014,1.61244E-013,-1.16344E-015,3.70279E-015,6.32351E-014,4.1352E-015
8,24.854,45.6,54.2,6.165,7.95702E-008,5.50768E-005,1.15936E-012,1.17395E-014,3.4759E-014,8.70598E-014,1.17558E-013,2.43957E-013,3.04067E-015,4.37191E-014,1.04336E-014,-1.40577E-015,4.81311E-014,7.96203E-015
9,27.976,45.6,54.2,6.920,7.94328E-008,5.50768E-005,1.15652E-012,3.94122E-014,3.10436E-014,8.5194E-014,1.28109E-013,1.57144E-013,-6.77103E-015,1.39722E-014,-1.34071E-014,9.74509E-015,4.4291E-014,1.2111E-015
10,31.099,45.6,54.1,7.670,7.93871E-008,5.50768E-005,9.01029E-013,4.66231E-014,4.32941E-014,1.02935E-013,5.83092E-014,1.60997E-013,4.62274E-016,1.10917E-013,4.27302E-015,-6.39087E-015,4.8165E-014,2.26543E-015
11,34.222,45.8,54.1,8.485,7.92501E-008,5.49712E-005,5.31301E-013,2.73006E-014,1.28988E-013,9.45142E-014,8.11565E-014,8.19379E-014,2.88752E-014,2.09586E-014,1.14857E-014,6.3099E-015,4.44691E-014,4.5768E-015
12,37.344,47.0,54.2,9.295,7.92045E-008,5.49712E-005,1.00013E-012,2.31063E-014,2.3313E-014,7.59634E-014,1.34626E-013,1.41297E-013,-1.97744E-014,6.89209E-014,1.66023E-014,-1.01333E-014,1.01053E-013,-9.50333E-015
13,40.467,49.8,54.2,9.900,7.91133E-008,5.49712E-005,9.32606E-013,3.97464E-014,9.48363E-014,5.90161E-014,0,1.31244E-013,-1.43162E-015,1.03267E-013,-1.70726E-015,6.68776E-015,5.23863E-014,-3.10729E-015
14,43.589,54.5,54.7,10.400,7.92045E-008,5.49712E-005,4.28815E-013,3.13956E-014,3.91831E-014,4.59679E-014,8.04794E-014,2.5295E-013,1.09918E-014,7.2685E-014,1.7807E-014,5.35204E-015,5.45765E-014,2.50948E-016
15,46.712,60.4,55.1,10.620,7.90678E-008,5.48658E-005,6.8791E-013,1.80218E-014,8.54024E-014,6.65997E-014,8.45796E-014,9.2193E-014,-1.0487E-014,1.06255E-013,6.20998E-015,1.25239E-014,4.31167E-014,3.60804E-015
