MID Data C:\ESCO\Data\SIM\HMK\20260506\20260506_GZ_1421_6_28d_SIM_A.mfd
May 06 2026 15:13:10

Sample Weight : 275.3 mg

Normalization : per 100 mg (Sample weight : 275.3 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.928,48.7,57.9,1.130,8.00294E-008,5.80055E-005,1.32088E-012,5.20936E-014,8.9062E-014,2.59326E-014,7.11005E-014,5.1101E-013,5.1074E-015,1.03207E-013,2.19998E-014,-1.01261E-014,6.77638E-014,9.57403E-015
2,6.051,48.6,57.8,1.760,7.97536E-008,5.78942E-005,4.24209E-013,3.61397E-014,1.27852E-013,1.44011E-013,6.48295E-014,2.89911E-013,3.76714E-015,1.13161E-013,-1.48142E-015,1.82627E-014,9.43728E-014,-1.73284E-014
3,9.173,48.5,57.8,2.515,7.98914E-008,5.77833E-005,7.62381E-013,3.15934E-014,0,5.31299E-014,1.57201E-013,3.74269E-013,1.51741E-014,8.18512E-014,-5.02425E-015,-1.11316E-015,8.66939E-014,4.95787E-015
4,12.296,48.5,57.8,3.155,7.97994E-008,5.77833E-005,2.0187E-014,5.74491E-014,7.00069E-014,9.91393E-014,1.2928E-013,3.11117E-013,-4.08998E-015,1.39603E-013,2.34651E-015,5.94246E-015,7.00411E-014,8.25403E-015
5,15.418,48.5,57.8,3.975,7.95702E-008,5.76725E-005,1.22423E-012,6.09451E-014,1.38032E-013,4.20472E-014,9.3458E-014,3.39717E-013,1.57792E-014,1.50126E-013,0,1.18262E-014,2.76278E-014,3.28708E-015
6,18.541,48.5,57.8,4.730,7.97994E-008,5.7562E-005,8.92741E-013,4.47354E-014,2.92043E-014,1.20835E-013,1.25562E-013,3.55679E-013,3.97606E-016,6.33859E-014,1.53502E-014,-2.90484E-015,2.51296E-014,2.15295E-015
7,21.664,48.5,57.8,5.475,7.94786E-008,5.7562E-005,1.26607E-012,2.97905E-014,9.5936E-014,1.10388E-013,1.52303E-013,3.76266E-013,1.53138E-014,1.11023E-013,3.39364E-014,-1.18479E-014,8.87769E-014,-9.89337E-015
8,24.786,48.5,57.5,6.320,7.94328E-008,5.7562E-005,1.65361E-012,4.01402E-014,1.64816E-013,1.01697E-013,3.11769E-014,2.57485E-013,1.10743E-014,5.30152E-014,-1.14251E-015,-4.32896E-015,7.16015E-014,-5.31495E-015
9,27.909,48.5,57.5,6.980,7.93413E-008,5.74516E-005,1.54984E-012,1.72425E-014,1.60174E-013,0,6.24313E-014,3.04803E-013,4.60358E-015,7.07853E-014,3.97216E-014,-6.85786E-015,8.20553E-014,0
10,31.031,48.3,57.5,7.785,7.91133E-008,5.73415E-005,4.96193E-013,2.12947E-014,7.08099E-014,5.26694E-014,4.64229E-014,3.90085E-013,6.99971E-015,4.01477E-014,3.22314E-014,1.65612E-016,8.27779E-014,-1.0175E-014
